DIRECCIONAMIENTO MQTT OBSERVATORIO AURA LSST 2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;MED_CAUDAL;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/CAUDAL_VENTILADOR_IMPULSION;.;;ANALOG VALUE;READ ;22;0% a 20%;%;OK;;;
;;SET_POINT_VENTILADOR_MINIMO;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/SETPOINT_VENTILADOR_MIN;.;;ANALOG VALUE;READ ;22;20% a 100%;%;OK;;;
;;SET_POINT_VENTILADOR_MAXIMO;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/SETPOINT_VENTILADOR_MAX;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;ESTADO_VALVULA;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/ESTADO_VALVULA;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;ESTADO_FUN;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/ESTADO_FUNCIONAMIENTO;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;SERIUS_ALARMA;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/ALARMA_GENERAL;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_FILTRO;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/ALARMA_FILTRO;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;RESET_ALARMA;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/RESET_ALARMA;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;CALECFACCION_ETAPA_01;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/CALEFACCION_ETAPA_01;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;CALECFACCION_ETAPA_02;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/CALEFACCION_ETAPA_02;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ESTADO DAMPER;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/ESTADO_DAMPER;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_UMA_06;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/COMANDO_ENCENDIDO;,;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;CONSIGNA_LSST;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/VALOR_CONSIGNA_LSST;;.;ANALOG OUTPUT;WRITE;22;18/25;°C;EN PROCESO 2 ETAPA;;;
;;SET_POINT_VENTILADOR_MINIMO_LSST;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/SETPOINT_VENTILADOR_MIN_LSST;;.;ANALOG OUTPUT;WRITE;22;20% a 100%;%;EN PROCESO 2 ETAPA;;;
;;SET_POINT_VENT_MAXIMO_LSST;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/SETPOINT_VENTILADOR_MAX_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;PP_UMA_06_LSST;LSST/PISO04/MANEJADORA/GENERAL/SBLANCA/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 4;MANEJADORA SALA LIMPIA;CONSIGNA;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/VALOR_CONSIGNA;.;;ANALOG VALUE;READ ;22;18/25;°C;OK;;;
;;ROOM TEMP;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/ESTADO_TEMPERATURA_AMBIENTE;.;;ANALOG VALUE;READ ;22;18/24;°C;OK;;;
;;TEMP_EXTERNA;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/ESTADO_TEMPERATURA_EXTERIOR;.;;ANALOG VALUE;READ ;22;-4/24;°C;OK;;;
;;TEMP_ANTIFREEZE;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/ESTADO_TEMPERATURA_ANTICONGELANTE;.;;ANALOG VALUE;READ ;22;-14/0;°C;OK;;;
;;SET_POINT_TRABAJO;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/SETPOINT_TRABAJO;.;;ANALOG VALUE;READ ;22;18/25;°C;OK;;;
;;TEMP_IMPULSION;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/TEMPERATURA_INYECCION;.;;ANALOG VALUE;READ ;22;10/35;°C;OK;;;
;;TEMP_RECUPERACION;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/TEMPERATURA_RETORNO;.;;ANALOG VALUE;READ ;22;18/25;°C;OK;;;
;;MED_CAUDAL;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/CAUDAL_VENTILADOR_IMPULSION;.;;ANALOG VALUE;READ ;22;0% a 20%;%;OK;;;
;;SET_POINT_VENTILADOR_MINIMO;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/SETPOINT_VENTILADOR_MIN;.;;ANALOG VALUE;READ ;22;20% a 100%;%;OK;;;
;;SET_POINT_VENTILADOR_MAXIMO;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/SETPOINT_VENTILADOR_MAX;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;ESTADO_VALVULA;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/ESTADO_VALVULA;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;ESTADO_FUN;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/ESTADO_FUNCIONAMIENTO;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;SERIUS_ALARMA;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/ALARMA_GENERAL;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ALARMA_FILTRO;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/ALARMA_FILTRO;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;RESET_ALARMA;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/RESET_ALARMA;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;CALECFACCION_ETAPA_01;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/CALEFACCION_ETAPA_01;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;CALECFACCION_ETAPA_02;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/CALEFACCION_ETAPA_02;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;ESTADO DAMPER;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/ESTADO_DAMPER;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_UMA_05;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/COMANDO_ENCENDIDO;,;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;CONSIGNA_LSST;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/VALOR_CONSIGNA_LSST;;.;ANALOG OUTPUT;WRITE;22;18/25;°C;EN PROCESO 2 ETAPA;;;
;;SET_POINT_VENTILADOR_MINIMO_LSST;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/SETPOINT_VENTILADOR_MIN_LSST;;.;ANALOG OUTPUT;WRITE;22;20% a 100%;%;EN PROCESO 2 ETAPA;;;
;;SET_POINT_VENT_MAXIMO_LSST;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/SETPOINT_VENTILADOR_MAX_LSST;;.;ANALOG OUTPUT;WRITE;22;0% a 100%;%;EN PROCESO 2 ETAPA;;;
;;PP_UMA_05_LSST;LSST/PISO04/MANEJADORA/GENERAL/SLIMPIA/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
DIRECCIONAMIENTO MQTT OBSERVATORIO AURA LSST 2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO;TABLERO;VARIABLE INTERNA SISTEMA;TOPIC MQTT;PUBLICACION;SUSCRIPCION;SEÑAL;READ / WRITE;SIGNAL RANGE ;LIMITES;UNIT;ESTADO ACTUAL;OBSERVACIONES (0) CORRECIONES;;
PISO 2;CRACK N°1;EST_FUN;LSST/PISO02/CRACK01/ESTADO_FUNCIONAMIENTO;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PRESENCIA_ALARMA;LSST/PISO02/CRACK01/ESTADO_PRESENCIA_ALARMA;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;TEMP_INYECCION;LSST/PISO02/CRACK01/TEMPERATURA_INYECCION;.;;ANALOG VALUE;READ ;22;10/24;°C;OK;;;
;;TEMP_RETORNO;LSST/PISO02/CRACK01/TEMPERATURA_RETORNO;.;;ANALOG VALUE;READ ;22;20/30;°C;OK;;;
;;%HUMEDAD_SALA;LSST/PISO02/CRACK01/%_HUMEDAD_SALA;.;;ANALOG VALUE;READ ;22;40% a 60%;%;OK;;;
;;%APERTURA_VALVULA;LSST/PISO02/CRACK01/%_APERTURA_VALVULA;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;SETPOINT_HUMIDIF;LSST/PISO02/CRACK01/SETPOINT_HUMIDIFICADOR;.;;ANALOG VALUE;READ ;22;40% a 60%;%;OK;;;
;;SETPOINT_DESHUMIF;LSST/PISO02/CRACK01/SETPOINT_DESHUMIDIFICADOR;.;;ANALOG VALUE;READ ;22;40% a 60%;%;OK;;;
;;SET_POINT_COOLING;LSST/PISO02/CRACK01/SET_POINT_COOLING;.;;ANALOG VALUE;READ ;22;18/23;°C;OK;;;
;;SET_POINT_HEATING;LSST/PISO02/CRACK01/SET_POINT_HEATING;.;;ANALOG VALUE;READ ;22;17/21;°C;OK;;;
;;REQUERIMIENTO_HUMIFICADOR;LSST/PISO02/CRACK01/REQUERIMIENTO_HUMIDIFICADOR;.;;ANALOG VALUE;READ ;22;40% a 60%;%;OK;;;
;;MODO_OPERACION_UNIDAD;LSST/PISO02/CRACK01/MODO_OPERACION_UNIDAD;.;;ANALOG VALUE;READ ;8;8;-;OK;;;
;;ESTADO DE UNIDAD;LSST/PISO02/CRACK01/ESTADO_DE_UNIDAD;.;;ANALOG VALUE;READ ;4;4;-;OK;;;
;;NUMERO_CIRCUITOS;LSST/PISO02/CRACK01/NUMERO_CIRCUITOS;.;;ANALOG VALUE;READ ;1;1;-;OK;;;
;;PP_SEL_PRECISION_01;LSST/PISO02/CRACK01/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;SETPOINT_HUMIDIF_LSST;LSST/PISO02/CRACK01/SETPOINT_HUMIDIFICADOR_LSST;;.;ANALOG OUTPUT;WRITE;22;40% a 60%;%;EN PROCESO 2 ETAPA;;;
;;SETPOINT_DESHUMIF_LSST;LSST/PISO02/CRACK01/SETPOINT_DESHUMIDIFICADOR_LSST;;.;ANALOG OUTPUT;WRITE;22;40% a 60%;%;EN PROCESO 2 ETAPA;;;
;;SET_POINT_COOLING_LSST;LSST/PISO02/CRACK01/SET_POINT_COOLING_LSST;;.;ANALOG OUTPUT;WRITE;22;18/23;°C;EN PROCESO 2 ETAPA;;;
;;SET_POINT_HEATING_LSST;LSST/PISO02/CRACK01/SET_POINT_HEATING_LSST;;.;ANALOG OUTPUT;WRITE;22;17/21;°C;EN PROCESO 2 ETAPA;;;
;;PP_SEL_PRECISION_01_LSST;LSST/PISO02/CRACK01/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 2;CRACK N°2;EST_FUN;LSST/PISO02/CRACK02/ESTADO_FUNCIONAMIENTO;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PRESENCIA_ALARMA;LSST/PISO02/CRACK02/ESTADO_PRESENCIA_ALARMA;.;;BINARY VALUE;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;TEMP_INYECCION;LSST/PISO02/CRACK02/TEMPERATURA_INYECCION;.;;ANALOG VALUE;READ ;22;10/24;°C;OK;;;
;;TEMP_RETORNO;LSST/PISO02/CRACK02/TEMPERATURA_RETORNO;.;;ANALOG VALUE;READ ;22;20/30;°C;OK;;;
;;%HUMEDAD_SALA;LSST/PISO02/CRACK02/%_HUMEDAD_SALA;.;;ANALOG VALUE;READ ;22;40% a 60%;%;OK;;;
;;%APERTURA_VALVULA;LSST/PISO02/CRACK02/%_APERTURA_VALVULA;.;;ANALOG VALUE;READ ;22;0% a 100%;%;OK;;;
;;SETPOINT_HUMIDIF;LSST/PISO02/CRACK02/SETPOINT_HUMIDIFICADOR;.;;ANALOG VALUE;READ ;22;40% a 60%;%;OK;;;
;;SETPOINT_DESHUMIF;LSST/PISO02/CRACK02/SETPOINT_DESHUMIDIFICADOR;.;;ANALOG VALUE;READ ;22;40% a 60%;%;OK;;;
;;SET_POINT_COOLING;LSST/PISO02/CRACK02/SET_POINT_COOLING;.;;ANALOG VALUE;READ ;22;18/23;°C;OK;;;
;;SET_POINT_HEATING;LSST/PISO02/CRACK02/SET_POINT_HEATING;.;;ANALOG VALUE;READ ;22;17/21;°C;OK;;;
;;REQUERIMIENTO_HUMIFICADOR;LSST/PISO02/CRACK02/REQUERIMIENTO_HUMIDIFICADOR;.;;ANALOG VALUE;READ ;22;40% a 60%;%;OK;;;
;;MODO_OPERACION_UNIDAD;LSST/PISO02/CRACK02/MODO_OPERACION_UNIDAD;.;;ANALOG VALUE;READ ;8;8;-;OK;;;
;;ESTADO DE UNIDAD;LSST/PISO02/CRACK02/ESTADO_DE_UNIDAD;.;;ANALOG VALUE;READ ;4;4;-;OK;;;
;;NUMERO_CIRCUITOS;LSST/PISO02/CRACK02/NUMERO_CIRCUITOS;.;;ANALOG VALUE;READ ;1;1;-;OK;;;
;;PP_SEL_PRECISION_01;LSST/PISO02/CRACK02/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;SETPOINT_HUMIDIF_LSST;LSST/PISO02/CRACK02/SETPOINT_HUMIDIFICADOR_LSST;;.;ANALOG OUTPUT;WRITE;22;40% a 60%;%;EN PROCESO 2 ETAPA;;;
;;SETPOINT_DESHUMIF_LSST;LSST/PISO02/CRACK02/SETPOINT_DESHUMIDIFICADOR_LSST;;.;ANALOG OUTPUT;WRITE;22;40% a 60%;%;EN PROCESO 2 ETAPA;;;
;;SET_POINT_COOLING_LSST;LSST/PISO02/CRACK02/SET_POINT_COOLING_LSST;;.;ANALOG OUTPUT;WRITE;22;18/23;°C;EN PROCESO 2 ETAPA;;;
;;SET_POINT_HEATING_LSST;LSST/PISO02/CRACK02/SET_POINT_HEATING_LSST;;.;ANALOG OUTPUT;WRITE;22;17/21;°C;EN PROCESO 2 ETAPA;;;
;;PP_SEL_PRECISION_01_LSST;LSST/PISO02/CRACK02/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
DIRECCIONAMIENTO MQTT OBSERVATORIO AURA LSST 2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO;TABLERO;VARIABLE INTERNA SISTEMA;TOPIC MQTT;PUBLICACION;SUSCRIPCION;SEÑAL;READ / WRITE;SIGNAL RANGE ;LIMITES;UNIT;ESTADO ACTUAL;OBSERVACIONES (0) CORRECIONES;;
PISO 4;VEX LOWER ;EF_VEX_03;LSST/PISO04/VEX_03/DAMPER_LOWER/GENERAL/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEX_03;LSST/PISO04/VEX_03/DAMPER_LOWER/GENERAL/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEX_03;LSST/PISO04/VEX_03/DAMPER_LOWER/GENERAL/COMANDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;SEL_VEX_03;LSST/PISO04/VEX_03/DAMPER_LOWER/GENERAL/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEX_03_LSST;LSST/PISO04/VEX_03/DAMPER_LOWER/GENERAL/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 4;VEX ZONA CARGA;EF_VEX_04;LSST/PISO04/VEX_04/ZONA_CARGA/GENERAL/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEX_04;LSST/PISO04/VEX_04/ZONA_CARGA/GENERAL/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEX_04;LSST/PISO04/VEX_04/ZONA_CARGA/GENERAL/COMANDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;SEL_VEX_04;LSST/PISO04/VEX_04/ZONA_CARGA/GENERAL/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEX_04_LSST;LSST/PISO04/VEX_04/ZONA_CARGA/GENERAL/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
DIRECCIONAMIENTO MQTT OBSERVATORIO AURA LSST 2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO;TABLERO;VARIABLE INTERNA SISTEMA;TOPIC MQTT;PUBLICACION;SUSCRIPCION;SEÑAL;READ / WRITE;SIGNAL RANGE ;LIMITES;UNIT;ESTADO ACTUAL;OBSERVACIONES (0) CORRECIONES;;
PISO 5;VEA 01;EF_VEA_01;LSST/PISO05/VEA_01/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_01;LSST/PISO05/VEA_01/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_01;LSST/PISO05/VEA_01/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_01_LSST;LSST/PISO05/VEA_01/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 5;VEA 08;EF_VEA_08;LSST/PISO05/VEA_08/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_08;LSST/PISO05/VEA_08/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_08;LSST/PISO05/VEA_08/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_08_LSST;LSST/PISO05/VEA_08/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 5;VEA 09;EF_VEA_09;LSST/PISO05/VEA_09/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_09;LSST/PISO05/VEA_09/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_09;LSST/PISO05/VEA_09/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_09_LSST;LSST/PISO05/VEA_09/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 5;VEA 10;EF_VEA_10;LSST/PISO05/VEA_10/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_10;LSST/PISO05/VEA_10/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_10;LSST/PISO05/VEA_10/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_10_LSST;LSST/PISO05/VEA_10/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 5;VEA 11;EF_VEA_11;LSST/PISO05/VEA_11/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_11;LSST/PISO05/VEA_11/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_11;LSST/PISO05/VEA_11/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_11_LSST;LSST/PISO05/VEA_11/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 5;VEA 12;EF_VEA_12;LSST/PISO05/VEA_12/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_12;LSST/PISO05/VEA_12/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_12;LSST/PISO05/VEA_12/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_12_LSST;LSST/PISO05/VEA_12/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 5;VEA 13;EF_VEA_13;LSST/PISO05/VEA_13/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_13;LSST/PISO05/VEA_13/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_13;LSST/PISO05/VEA_13/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_13_LSST;LSST/PISO05/VEA_13/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 5;VEA 14;EF_VEA_14;LSST/PISO05/VEA_14/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_14;LSST/PISO05/VEA_14/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_14;LSST/PISO05/VEA_14/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_14_LSST;LSST/PISO05/VEA_14/COMANDO_ENCENDIDO_LSST;;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 5;VEA 15;EF_VEA_15;LSST/PISO05/VEA_15/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_15;LSST/PISO05/VEA_15/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_15;LSST/PISO05/VEA_15/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_15_LSST;LSST/PISO05/VEA_15/COMANDO_ENCENDIDO_LSST;.;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 5;VEA 16;EF_VEA_16;LSST/PISO05/VEA_16/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_16;LSST/PISO05/VEA_16/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_16;LSST/PISO05/VEA_16/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_16_LSST;LSST/PISO05/VEA_16/COMANDO_ENCENDIDO_LSST;.;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO 5;VEA 17;EF_VEA_17;LSST/PISO05/VEA_17/ESTADO_FUNCIONAMIENTO;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;FT_VEA_17;LSST/PISO05/VEA_17/FALLA_TERMICA;.;;BINARY INPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_17;LSST/PISO05/VEA_17/COMANDO_ENCENDIDO;.;;BINARY OUTPUT;READ ;TRUE (O) FALSE;0/1;-;OK;;;
;;PP_VEA_17_LSST;LSST/PISO05/VEA_17/COMANDO_ENCENDIDO_LSST;.;.;BINARY OUTPUT;WRITE;TRUE (O) FALSE;0/1;-;EN PROCESO 2 ETAPA;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
DIRECCIONAMIENTO MQTT OBSERVATORIO AURA LSST 2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PISO;TABLERO;VARIABLE INTERNA SISTEMA;TOPIC MQTT;PUBLICACION;SUSCRIPCION;SEÑAL;READ / WRITE;SIGNAL RANGE ;LIMITES;UNIT;ESTADO ACTUAL;OBSERVACIONES (0) CORRECIONES;;
